iter	Passed	Remaining
0	38	38458
1	71	35503
2	101	33783
3	133	33291
4	163	32456
5	194	32171
6	229	32542
7	259	32134
8	289	31826
9	320	31776
10	352	31709
11	382	31523
12	413	31393
13	443	31245
14	474	31153
15	503	30986
16	535	30940
17	565	30833
18	599	30975
19	635	31129
20	667	31118
21	698	31055
22	728	30924
23	758	30864
24	790	30847
25	821	30767
26	849	30613
27	877	30473
28	909	30467
29	939	30373
30	978	30586
31	1008	30520
32	1037	30413
33	1063	30229
34	1092	30128
35	1121	30031
36	1156	30088
37	1185	30019
38	1218	30034
39	1249	29981
40	1279	29927
41	1311	29915
42	1344	29916
43	1375	29896
44	1407	29861
45	1437	29806
46	1472	29847
47	1500	29750
48	1528	29665
49	1561	29668
50	1590	29588
51	1621	29552
52	1649	29473
53	1682	29472
54	1718	29520
55	1749	29490
56	1779	29436
57	1808	29366
58	1837	29306
59	1867	29253
60	1894	29166
61	1923	29104
62	1953	29048
63	1985	29041
64	2015	28995
65	2047	28972
66	2077	28932
67	2106	28871
68	2133	28784
69	2165	28769
70	2194	28708
71	2222	28642
72	2253	28612
73	2284	28582
74	2316	28565
75	2349	28562
76	2379	28526
77	2407	28462
78	2440	28449
79	2471	28416
80	2499	28358
81	2528	28312
82	2558	28268
83	2588	28230
84	2618	28188
85	2647	28137
86	2675	28074
87	2702	28003
88	2736	28011
89	2768	27995
90	2802	27992
91	2835	27984
92	2866	27958
93	2897	27927
94	2924	27855
95	2958	27862
96	2990	27839
97	3021	27813
98	3049	27754
99	3077	27697
100	3107	27664
101	3139	27641
102	3170	27606
103	3202	27593
104	3233	27560
105	3265	27539
106	3298	27531
107	3328	27491
108	3358	27451
109	3386	27403
110	3418	27380
111	3452	27371
112	3479	27312
113	3506	27255
114	3533	27192
115	3560	27137
116	3589	27089
117	3617	27042
118	3648	27010
119	3678	26973
120	3708	26939
121	3740	26917
122	3770	26883
123	3797	26828
124	3823	26762
125	3854	26734
126	3886	26716
127	3918	26691
128	3950	26673
129	3981	26643
130	4011	26612
131	4043	26589
132	4071	26540
133	4100	26497
134	4131	26471
135	4163	26452
136	4192	26411
137	4220	26365
138	4257	26370
139	4287	26336
140	4315	26290
141	4346	26262
142	4374	26219
143	4404	26184
144	4433	26144
145	4461	26095
146	4487	26042
147	4516	26001
148	4546	25968
149	4577	25941
150	4605	25894
151	4636	25866
152	4665	25826
153	4695	25797
154	4725	25761
155	4753	25719
156	4784	25691
157	4814	25655
158	4842	25612
159	4872	25582
160	4904	25557
161	4939	25549
162	4974	25546
163	5007	25525
164	5036	25485
165	5067	25462
166	5100	25440
167	5129	25403
168	5162	25385
169	5191	25346
170	5221	25314
171	5251	25279
172	5281	25247
173	5311	25212
174	5342	25185
175	5370	25145
176	5400	25112
177	5430	25078
178	5459	25041
179	5488	25003
180	5518	24969
181	5546	24926
182	5572	24878
183	5601	24841
184	5633	24816
185	5659	24767
186	5690	24737
187	5719	24701
188	5749	24671
189	5777	24629
190	5804	24587
191	5832	24545
192	5858	24497
193	5887	24461
194	5918	24432
195	5948	24401
196	5978	24367
197	6008	24337
198	6037	24300
199	6070	24283
200	6103	24260
201	6132	24225
202	6165	24204
203	6197	24183
204	6228	24154
205	6260	24130
206	6290	24098
207	6321	24071
208	6350	24036
209	6378	23996
210	6407	23959
211	6440	23937
212	6469	23904
213	6499	23870
214	6528	23836
215	6559	23807
216	6588	23771
217	6615	23732
218	6646	23704
219	6676	23670
220	6705	23635
221	6737	23610
222	6766	23575
223	6795	23542
224	6823	23501
225	6851	23465
226	6879	23425
227	6906	23385
228	6940	23368
229	6969	23333
230	6999	23301
231	7024	23254
232	7052	23214
233	7080	23176
234	7110	23147
235	7147	23138
236	7181	23119
237	7211	23087
238	7239	23050
239	7271	23027
240	7304	23005
241	7335	22976
242	7365	22946
243	7392	22904
244	7425	22882
245	7456	22855
246	7488	22828
247	7519	22800
248	7552	22779
249	7583	22750
250	7612	22714
251	7644	22689
252	7675	22660
253	7703	22626
254	7732	22591
255	7764	22565
256	7791	22524
257	7819	22487
258	7846	22449
259	7878	22422
260	7906	22386
261	7935	22352
262	7966	22324
263	7998	22297
264	8026	22262
265	8057	22233
266	8087	22202
267	8119	22178
268	8154	22160
269	8185	22131
270	8218	22107
271	8250	22083
272	8282	22056
273	8313	22026
274	8345	22001
275	8376	21972
276	8409	21950
277	8436	21911
278	8466	21878
279	8493	21840
280	8523	21808
281	8551	21772
282	8580	21740
283	8610	21709
284	8638	21673
285	8667	21638
286	8698	21608
287	8727	21576
288	8756	21542
289	8785	21508
290	8812	21470
291	8842	21440
292	8873	21412
293	8901	21376
294	8928	21338
295	8958	21307
296	8986	21272
297	9017	21242
298	9049	21217
299	9076	21179
300	9109	21155
301	9139	21124
302	9167	21088
303	9199	21062
304	9229	21030
305	9259	21000
306	9291	20974
307	9322	20945
308	9352	20915
309	9387	20894
310	9423	20878
311	9456	20852
312	9487	20823
313	9517	20792
314	9543	20754
315	9575	20727
316	9607	20700
317	9639	20673
318	9673	20650
319	9705	20625
320	9738	20600
321	9768	20567
322	9797	20534
323	9829	20507
324	9858	20476
325	9889	20446
326	9921	20419
327	9951	20388
328	9982	20359
329	10012	20329
330	10043	20298
